SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-29-2018,Single Family Residential,6244 Stockton Dr,Fort Worth,TX,76132,195000,3,2.0,Hulen Bend Add,1595,6011,2001,660,122,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6244-Stockton-Dr-76132/home/32479838,NTREIS,13900675,N,Y,32.6596133,-97.4161463
PAST SALE,May-30-2018,Single Family Residential,6837 Beverly Glen Dr,Fort Worth,TX,76132,200000,3,2.0,Park Palisades Add,1812,6316,1999,751,110,38,Sold,,,http://www.redfin.com/TX/Fort-Worth/6837-Beverly-Glen-Dr-76132/home/32457520,NTREIS,13820579,N,Y,32.6510985,-97.4138115
PAST SALE,October-10-2018,Single Family Residential,7117 Deer Hollow Dr,Fort Worth,TX,76132,277000,3,2.0,Quail Ridge Estates Add,1699,5489,1998,618,163,42,Sold,,,http://www.redfin.com/TX/Fort-Worth/7117-Deer-Hollow-Dr-76132/home/32442905,NTREIS,13916887,N,Y,32.6473928,-97.4205182
PAST SALE,November-9-2018,Single Family Residential,6728 Day Dr,Fort Worth,TX,76132,215000,3,2.0,Oakmont Meadows Add,1813,5489,1999,588,119,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6728-Day-Dr-76132/home/32445898,NTREIS,13923374,N,Y,32.6586921,-97.4116087
PAST SALE,February-20-2018,Single Family Residential,6924 Laurel Canyon Ter,Fort Worth,TX,76132,239000,4,2.0,Park Palisades Add,2365,9583,2000,850,101,36,Sold,,,http://www.redfin.com/TX/Fort-Worth/6924-Laurel-Canyon-Ter-76132/home/32457460,NTREIS,13752340,N,Y,32.6497636,-97.4142033
PAST SALE,November-6-2019,Townhouse,5863 Pecan Chase,Benbrook,TX,76132,210000,2,2.0,Waterwood Place,1378,2962,1999,226,152,154,Sold,,,http://www.redfin.com/TX/Benbrook/5863-Pecan-Chase-76132/home/32372807,NTREIS,14205380,N,Y,32.69411,-97.424212
PAST SALE,July-17-2017,Single Family Residential,6716 Clear Spring Dr,Fort Worth,TX,76132,479900,4,3.0,Bellaire Park North,3473,11369,1995,1068,138,3,Sold,,,http://www.redfin.com/TX/Fort-Worth/6716-Clear-Spring-Dr-76132/home/32415643,NTREIS,13621855,N,Y,32.6725816,-97.4280377
PAST SALE,December-19-2018,Single Family Residential,6728 Medinah Dr,Fort Worth,TX,76132,620000,3,2.5,Mira Vista Add,2783,6273,2000,548,223,259,Sold,,,http://www.redfin.com/TX/Fort-Worth/6728-Medinah-Dr-76132/home/32434673,NTREIS,13936245,N,Y,32.6529235,-97.433868
PAST SALE,December-20-2018,Single Family Residential,6701 Meadows West Dr S,Fort Worth,TX,76132,399950,4,3.0,Meadows West Add,2704,11195,1984,547,148,3,Sold,,,http://www.redfin.com/TX/Fort-Worth/6701-W-Meadows-Dr-S-76132/home/31781948,NTREIS,13944137,N,Y,32.6759891,-97.4279321
PAST SALE,May-6-2018,Single Family Residential,7005 Aspen Wood Trl,Fort Worth,TX,76132,319900,3,2.5,Quail Ridge Estates Add,2271,16117,1987,775,141,,Sold,,,http://www.redfin.com/TX/Fort-Worth/7005-Aspen-Wood-Trl-76132/home/32384245,NTREIS,13575175,N,Y,32.6505045,-97.4232006
PAST SALE,September-28-2018,Single Family Residential,5017 Highland Meadow Dr,Fort Worth,TX,76132,569000,4,3.5,Meadows West Add,3886,12240,1991,630,146,,Sold,,,http://www.redfin.com/TX/Fort-Worth/5017-Highland-Meadow-Dr-76132/home/32401218,NTREIS,13898929,N,Y,32.6749311,-97.4254185
PAST SALE,January-11-2019,Single Family Residential,7109 Meadowside Rd S,Fort Worth,TX,76132,248000,3,2.5,Quail Ridge Estates Add,1560,9322,1994,525,159,,Sold,,,http://www.redfin.com/TX/Fort-Worth/7109-Meadowside-Rd-S-76132/home/32384458,NTREIS,13907223,N,Y,32.6477124,-97.425503
PAST SALE,January-18-2019,Single Family Residential,6717 Oak Hill Dr,Fort Worth,TX,76132,1199000,5,5.5,Mira Vista Add,6700,20125,2005,518,179,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/6717-Oak-Hill-Dr-76132/home/32428200,NTREIS,13777610,N,Y,32.6504856,-97.4364876
PAST SALE,February-25-2019,Single Family Residential,6316 Elm Crest Ct,Fort Worth,TX,76132,629000,4,3.5,Hawthorne Park Estates,4112,16161,1998,480,153,63,Sold,,,http://www.redfin.com/TX/Fort-Worth/6316-Elm-Crest-Ct-76132/home/32423165,NTREIS,13848381,N,Y,32.6616708,-97.4286609
PAST SALE,February-25-2019,Single Family Residential,6920 Vista Ridge Dr E,Fort Worth,TX,76132,469000,5,4.0,Vista Ridge Add,4014,11369,1995,480,117,38,Sold,,,http://www.redfin.com/TX/Fort-Worth/6920-Vista-Ridge-Dr-E-76132/home/32419975,NTREIS,13945059,N,Y,32.6489454,-97.4302557
PAST SALE,February-28-2019,Single Family Residential,6512 Havenview Ct,Fort Worth,TX,76132,550000,4,4.5,Meadows West Add,4310,14985,1989,477,128,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6512-Havenview-Ct-76132/home/32401151,NTREIS,14015332,N,Y,32.675363,-97.4244257
PAST SALE,March-4-2019,Single Family Residential,6440 Fianna Hills Dr,Fort Worth,TX,76132,389900,4,3.0,Monarch Hills Add,3091,7797,2000,473,126,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/6440-Fianna-Hills-Dr-76132/home/32473800,NTREIS,13975937,N,Y,32.6593963,-97.429453
PAST SALE,March-13-2019,Single Family Residential,6532 Valencia Grove Pass,Fort Worth,TX,76132,474900,4,3.5,River Hills II Add,3651,5663,2007,464,130,42,Sold,,,http://www.redfin.com/TX/Fort-Worth/6532-Valencia-Grove-Pass-76132/home/40197318,NTREIS,13981553,N,Y,32.6665005,-97.4288193
PAST SALE,July-19-2019,Single Family Residential,6921 Meadowside Rd S,Fort Worth,TX,76132,315000,4,2.5,Quail Ridge Estates Add,2420,9365,1996,336,130,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6921-Meadowside-Rd-S-76132/home/32423181,NTREIS,14093036,N,Y,32.6504568,-97.4266014
PAST SALE,July-19-2019,Townhouse,7113 Rose Quartz Ct,Fort Worth,TX,76132,360000,3,3.0,Bellaire Village,2565,3572,2016,336,140,83,Sold,,,http://www.redfin.com/TX/Fort-Worth/7113-Rose-Quartz-Ct-76132/home/31226447,NTREIS,14116879,N,Y,32.6687491,-97.4277824
PAST SALE,February-15-2019,Single Family Residential,6920 Vista Ridge Ct,Fort Worth,TX,76132,525000,4,3.5,Vista Ridge Add,3750,9975,2001,490,140,29,Sold,,,http://www.redfin.com/TX/Fort-Worth/6920-Vista-Ridge-Ct-76132/home/32444436,NTREIS,13990744,N,Y,32.6497094,-97.4314387
PAST SALE,June-13-2019,Single Family Residential,7028 Golden Gate Dr,Fort Worth,TX,76132,320000,4,3.0,Bellaire Park North,2614,9583,1988,372,122,,Sold,,,http://www.redfin.com/TX/Fort-Worth/7028-Golden-Gate-Dr-76132/home/32384553,NTREIS,14044854,N,Y,32.6697986,-97.429453
PAST SALE,May-28-2019,Single Family Residential,5209 Partridge Rd,Fort Worth,TX,76132,249900,3,2.0,Overton South,2186,11064,1977,388,114,2,Sold,,,http://www.redfin.com/TX/Fort-Worth/5209-Partridge-Rd-76132/home/31875181,NTREIS,14006920,N,Y,32.6725275,-97.3940749
PAST SALE,April-1-2019,Single Family Residential,6152 Strada Cv,Fort Worth,TX,76123,404000,3,2.0,Tavolo Park,2321,6534,2019,445,174,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/6152-Strada-Cv-76123/home/169105843,NTREIS,14055867,N,Y,32.641066,-97.424744
PAST SALE,January-30-2019,Single Family Residential,7436 Plumgrove Rd,Fort Worth,TX,76123,369183,3,2.5,Tavolo Park,2224,6098,2018,506,166,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/7436-PLUMGROVE-RD-76123/home/146775626,NTREIS,14013650,N,Y,32.644626,-97.428049
PAST SALE,May-29-2019,Single Family Residential,6809 Windwood Trl,Fort Worth,TX,76132,325000,4,2.5,Hulen Bend Estates Add,3015,7100,1999,387,108,48,Sold,,,http://www.redfin.com/TX/Fort-Worth/6809-Windwood-Trl-76132/home/32445437,NTREIS,14005846,N,Y,32.6558488,-97.4111411
PAST SALE,May-29-2019,Single Family Residential,6113 Bowin Dr,Fort Worth,TX,76132,215000,3,2.0,Oakmont Meadows Add,2148,5489,1998,387,100,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6113-Bowin-Dr-76132/home/32445918,NTREIS,14028259,N,Y,32.6605853,-97.4115845
PAST SALE,May-30-2019,Single Family Residential,7001 Meadowside Rd S,Fort Worth,TX,76132,249000,3,2.0,Quail Ridge Estates Add,1992,9365,1995,386,125,,Sold,,,http://www.redfin.com/TX/Fort-Worth/7001-Meadowside-Rd-S-76132/home/32423200,NTREIS,14088181,N,Y,32.6497927,-97.4263268
PAST SALE,November-14-2017,Townhouse,6664 Shady Glen Cir,Benbrook,TX,76132,320000,3,2.0,Waterwood Place,2276,7536,2005,948,141,154,Sold,,,http://www.redfin.com/TX/Benbrook/6664-Shady-Glen-Cir-76132/home/31061483,NTREIS,13615704,N,Y,32.694675,-97.4241828
PAST SALE,August-11-2017,Single Family Residential,10 Lombardy Ter,Benbrook,TX,76132,485000,4,3.0,Mont Del Estates Add,3612,18992,1975,1043,134,3,Sold,,,http://www.redfin.com/TX/Benbrook/10-Lombardy-Ter-76132/home/31795342,NTREIS,13583570,N,Y,32.6873923,-97.4222548
PAST SALE,October-31-2018,Single Family Residential,24 Legend Rd,Benbrook,TX,76132,309900,3,2.0,Meadows West Add,2342,8276,1978,597,132,,Sold,,,http://www.redfin.com/TX/Benbrook/24-Legend-Rd-76132/home/31781971,NTREIS,13924085,N,Y,32.6900846,-97.4198293
PAST SALE,January-25-2019,Single Family Residential,6612 Hillside Dr,Benbrook,TX,76132,404900,4,2.5,Country Day Estates,2543,9583,1981,511,159,,Sold,,,http://www.redfin.com/TX/Benbrook/6612-Hillside-Dr-76132/home/31501818,NTREIS,13963405,N,Y,32.6896717,-97.4243835
PAST SALE,February-1-2019,Single Family Residential,6628 Country Day Trl,Benbrook,TX,76132,419000,4,2.5,Country Day Estates,2677,11326,1991,504,157,,Sold,,,http://www.redfin.com/TX/Benbrook/6628-Country-Day-Trl-76132/home/32333661,NTREIS,13964736,N,Y,32.6905971,-97.4250594
PAST SALE,February-4-2019,Single Family Residential,36 Legend Rd,Benbrook,TX,76132,279000,3,2.5,Meadows West Add,2218,5793,1978,501,126,,Sold,,,http://www.redfin.com/TX/Benbrook/36-Legend-Rd-76132/home/31781965,NTREIS,13991018,N,Y,32.6900699,-97.4210202
PAST SALE,March-6-2019,Single Family Residential,5969 River Bend Dr,Benbrook,TX,76132,289900,3,2.0,Bellaire Country Place Add,2054,7013,1999,471,141,117,Sold,,,http://www.redfin.com/TX/Benbrook/5969-River-Bend-Dr-76132/home/32411825,NTREIS,14011306,N,Y,32.6908999,-97.425503
PAST SALE,November-29-2019,Single Family Residential,20 Legend Rd,Benbrook,TX,76132,299000,3,2.0,Mont Del Estates Add,2245,12589,1974,203,133,3,Sold,,,http://www.redfin.com/TX/Benbrook/20-Legend-Rd-76132/home/31795489,NTREIS,14090332,N,Y,32.6900673,-97.4188155
PAST SALE,December-9-2019,Single Family Residential,21 Windward Rd,Benbrook,TX,76132,389000,4,3.5,Mont Del Estates Add,3225,25265,1975,193,121,,Sold,,,http://www.redfin.com/TX/Fort-Worth/21-Windward-Rd-76132/home/31795373,NTREIS,14211962,N,Y,32.686006,-97.423366
PAST SALE,May-31-2019,Single Family Residential,100 Legend Rd,Benbrook,TX,76132,359000,3,2.5,Meadows West Add,2412,18949,2002,385,149,,Sold,,,http://www.redfin.com/TX/Benbrook/100-Legend-Rd-76132/home/32418454,NTREIS,14067694,N,Y,32.6879886,-97.4254708
PAST SALE,August-10-2018,Single Family Residential,68 Legend Rd,Benbrook,TX,76132,317500,3,2.5,Meadows West Add,2693,8930,1985,679,118,3,Sold,,,http://www.redfin.com/TX/Benbrook/68-Legend-Rd-76132/home/31781952,NTREIS,13813912,N,Y,32.6889224,-97.4237921
PAST SALE,July-9-2018,Multi-Family (2-4 Unit),6631 Waterwood Trl,Benbrook,TX,76132,250000,2,2.0,Country Day Estates,1646,6273,1996,711,152,,Sold,,,http://www.redfin.com/TX/Benbrook/6631-Waterwood-Trl-76132/home/32435385,NTREIS,13835827,N,Y,32.693078,-97.424189
PAST SALE,October-3-2018,Single Family Residential,5927 Bellaire Dr,Benbrook,TX,76132,479900,3,3.5,Country Day Estates,3336,13721,1998,625,144,,Sold,,,http://www.redfin.com/TX/Benbrook/5927-Bellaire-Dr-S-76132/home/32418528,NTREIS,13927796,N,Y,32.6926381,-97.4246792
PAST SALE,July-26-2019,Single Family Residential,6513 Valencia Grove Pass,Fort Worth,TX,76132,349500,3,2.0,River Hills II Add,2160,6098,2010,329,162,42,Sold,,,http://www.redfin.com/TX/Fort-Worth/6513-Valencia-Grove-Pass-76132/home/31306067,NTREIS,14114087,N,Y,32.6662508,-97.4278476
PAST SALE,July-29-2019,Single Family Residential,6900 Topanga Ter,Fort Worth,TX,76132,255000,4,3.0,Park Palisades Add,2365,13199,1999,326,108,38,Sold,,,http://www.redfin.com/TX/Fort-Worth/6900-Topanga-Ter-76132/home/32457476,NTREIS,14119619,N,Y,32.6489678,-97.4136006
PAST SALE,July-30-2019,Single Family Residential,6221 Gillispie Dr,Fort Worth,TX,76132,210000,3,2.0,Oakmont Meadows,1862,6534,2002,325,113,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6221-Gillispie-Dr-76132/home/32473391,NTREIS,14123053,N,Y,32.6593831,-97.4133585
PAST SALE,July-29-2019,Single Family Residential,16 Bounty Rd W,Benbrook,TX,76132,439000,4,3.5,Mont Del Estates Add,2835,16161,1974,326,155,,Sold,,,http://www.redfin.com/TX/Benbrook/16-Bounty-Rd-W-76132/home/31795441,NTREIS,14108494,N,Y,32.687342,-97.4170721
PAST SALE,July-26-2019,Single Family Residential,6732 Audubon Trl,Fort Worth,TX,76132,349900,4,4.0,Hulen Bend Estates Add,3418,9191,2000,329,102,45,Sold,,,http://www.redfin.com/TX/Fort-Worth/6732-Audubon-Trl-76132/home/32457817,NTREIS,14082617,N,Y,32.6529771,-97.4147946
PAST SALE,July-30-2019,Single Family Residential,7501 Caddo Ct,Fort Worth,TX,76132,309000,3,2.0,Quail Ridge Estates Add,2207,10149,1989,325,140,,Sold,,,http://www.redfin.com/TX/Fort-Worth/7501-Caddo-Ct-76132/home/32384318,NTREIS,14086751,N,Y,32.6512422,-97.4240878
PAST SALE,August-6-2019,Single Family Residential,6946 Mesa Dr,Fort Worth,TX,76132,311000,4,2.5,Hulen Bend Estates,3047,7405,1996,318,102,38,Sold,,,http://www.redfin.com/TX/Fort-Worth/6946-Mesa-Dr-76132/home/32433820,NTREIS,14100192,N,Y,32.6571501,-97.4140575
PAST SALE,August-13-2019,Single Family Residential,6924 Coldwater Canyon Rd,Fort Worth,TX,76132,210000,3,2.0,Park Paiisades,1821,13068,1999,311,115,13,Sold,,,http://www.redfin.com/TX/Fort-Worth/6924-Cold-Water-Canyon-Rd-76132/home/32457485,NTREIS,14095049,N,Y,32.6477277,-97.4136887
PAST SALE,August-20-2019,Single Family Residential,6804 Clear Spring Dr,Fort Worth,TX,76132,499000,4,3.0,Bellaire Park North,3591,13678,1993,304,139,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6804-Clear-Spring-Dr-76132/home/32415685,NTREIS,14122018,N,Y,32.6731186,-97.4308261
PAST SALE,August-20-2019,Single Family Residential,6432 Elm Crest Ct,Fort Worth,TX,76132,854900,5,4.5,Hawthorne Park Estates,4495,15594,1995,304,190,63,Sold,,,http://www.redfin.com/TX/Fort-Worth/6432-Elm-Crest-Ct-76132/home/32423153,NTREIS,14143591,N,Y,32.6603594,-97.4294953
PAST SALE,August-21-2019,Single Family Residential,6717 Deep Valley Ln,Fort Worth,TX,76132,399000,4,3.0,Meadows West Add,3061,13504,1984,303,130,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6717-Deep-Valley-Ln-76132/home/31781885,NTREIS,14074482,N,Y,32.6767247,-97.4292207
PAST SALE,August-23-2019,Single Family Residential,5 Bounty Rd W,Benbrook,TX,76132,415000,3,3.0,Mont Del Estates Add,3433,16117,1978,301,121,,Sold,,,http://www.redfin.com/TX/Benbrook/5-Bounty-Rd-W-76132/home/31795436,NTREIS,14149159,N,Y,32.6878418,-97.4163786
PAST SALE,September-6-2019,Single Family Residential,7016 Castle Creek Dr E,Fort Worth,TX,76132,355000,4,2.5,Bellaire Park North,2670,9322,1991,287,133,,Sold,,,http://www.redfin.com/TX/Fort-Worth/7016-Castle-Creek-Dr-E-76132/home/32384580,NTREIS,14102394,N,Y,32.6696854,-97.4269182
PAST SALE,September-18-2019,Townhouse,6708 Lost Star Ln,Fort Worth,TX,76132,343000,3,2.5,Bellaire Village,2555,3006,2016,275,134,83,Sold,,,http://www.redfin.com/TX/Fort-Worth/6708-Lost-Star-Ln-76132/home/31226440,NTREIS,14158038,N,Y,32.6689546,-97.4275159
PAST SALE,August-28-2019,Single Family Residential,6112 Strada Cv,Fort Worth,TX,76123,465695,5,4.5,Tavolo Park,3295,5663,2019,296,141,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/6112-Strada-Cv-76123/home/169105958,NTREIS,14150036,N,Y,32.640141,-97.422228
PAST SALE,September-4-2019,Single Family Residential,6108 Strada Cv,Fort Worth,TX,76123,403111,3,2.5,Tavolo Park,2130,5663,2019,289,189,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/6108-Strada-CV-76123/home/166808430,NTREIS,14096876,N,Y,32.64096,-97.424848
PAST SALE,October-2-2019,Single Family Residential,6201 Fallow Ct,Fort Worth,TX,76132,324900,3,2.0,Quail Ridge Estates Add,2280,8189,1997,261,143,42,Sold,,,http://www.redfin.com/TX/Fort-Worth/6201-Fallow-Ct-76132/home/32442918,NTREIS,14169098,N,Y,32.6471172,-97.4209089
PAST SALE,October-2-2019,Single Family Residential,6816 River Bend Rd,Fort Worth,TX,76132,599000,4,3.5,Meadows West,4646,13068,1983,261,129,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6816-River-Bend-Rd-76132/home/31782042,NTREIS,14126620,N,Y,32.67696,-97.4322837
PAST SALE,October-7-2019,Single Family Residential,7040 Lomo Alto Dr,Fort Worth,TX,76132,234900,3,2.5,Park Palisades Add,2274,7754,1999,256,103,38,Sold,,,http://www.redfin.com/TX/Fort-Worth/7040-Lomo-Alto-Dr-76132/home/32457371,NTREIS,14131000,N,Y,32.6478909,-97.4146394
PAST SALE,October-8-2019,Single Family Residential,6700 Ashbrook Dr,Fort Worth,TX,76132,475000,3,2.5,Meadows West,3450,14375,1984,255,138,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6700-Ashbrook-Dr-76132/home/32337003,NTREIS,14178912,N,Y,32.6799876,-97.426369
PAST SALE,October-16-2019,Single Family Residential,6913 Mccracken Ct,Fort Worth,TX,76132,245000,4,2.5,Oakmont Meadows Add,2614,6534,2001,247,94,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6913-McCracken-Ct-76132/home/32473427,NTREIS,14061410,N,Y,32.6600529,-97.4142597
PAST SALE,October-18-2019,Single Family Residential,6608 High Brook Dr,Fort Worth,TX,76132,247000,4,2.0,Hulen Bend Estates Add,2116,7187,1997,245,117,45,Sold,,,http://www.redfin.com/TX/Fort-Worth/6608-High-Brook-Dr-76132/home/32433863,NTREIS,14142153,N,Y,32.6555521,-97.415048
PAST SALE,November-1-2019,Single Family Residential,6901 Meadowside Rd S,Fort Worth,TX,76132,280000,3,2.0,Quail Ridge Estates Add,1935,11935,1996,231,145,3,Sold,,,http://www.redfin.com/TX/Fort-Worth/6901-Meadowside-Rd-S-76132/home/32423196,NTREIS,14075868,N,Y,32.6514597,-97.4270872
PAST SALE,November-6-2019,Single Family Residential,7504 Ramble Wood Trl,Fort Worth,TX,76132,376900,3,3.5,Quail Ridge Estates Add,2731,9060,1987,226,138,3,Sold,,,http://www.redfin.com/TX/Fort-Worth/7504-Ramble-Wood-Trl-76132/home/32384169,NTREIS,14175465,N,Y,32.6486044,-97.4234119
PAST SALE,November-14-2019,Single Family Residential,6100 Strada Cv,Fort Worth,TX,76123,359034,3,2.0,Tavolo Park,2206,5750,2019,218,163,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/Strada-Cv-76123/home/169574218,NTREIS,14188151,N,Y,32.641021,-97.421371
PAST SALE,November-25-2019,Single Family Residential,6937 Aspen Wood Trl,Fort Worth,TX,76132,320000,4,2.5,Quail Ridge Estates Add,2280,14288,1988,207,140,2,Sold,,,http://www.redfin.com/TX/Fort-Worth/6937-Aspen-Wood-Trl-76132/home/32384240,NTREIS,14207856,N,Y,32.6511455,-97.4234963
PAST SALE,November-25-2019,Single Family Residential,6817 Savannah Ln,Fort Worth,TX,76132,589900,5,3.5,Bellaire Park North,5263,12066,1992,207,112,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6817-Savannah-Ln-76132/home/32372726,NTREIS,14100189,N,Y,32.6735124,-97.4315866
PAST SALE,November-22-2019,Single Family Residential,6821 Descanso Gardens Dr,Fort Worth,TX,76132,210000,3,2.0,Park Palisades Add,1821,5793,2000,210,115,79,Sold,,,http://www.redfin.com/TX/Fort-Worth/6821-Descanso-Gardens-Dr-76132/home/32457376,NTREIS,14210884,N,Y,32.6472914,-97.4143771
PAST SALE,December-4-2019,Single Family Residential,6641 York St,Fort Worth,TX,76132,739000,4,3.5,Trinity Heights Crowley ISD,3614,10934,2000,198,204,77,Sold,,,http://www.redfin.com/TX/Fort-Worth/6641-York-St-76132/home/32457297,NTREIS,14134043,N,Y,32.6549067,-97.4311429
