SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-6-2019,Single Family Residential,6457 Elm Crest Ct,Fort Worth,TX,76132,825000,5,5.5,Hawthorne Park Estates,6512,27007,2000,196,127,63,Sold,,,http://www.redfin.com/TX/Fort-Worth/6457-Elm-Crest-Ct-76132/home/31182940,NTREIS,14167383,N,Y,32.6611076,-97.4305726
PAST SALE,December-9-2019,Single Family Residential,6713 Audubon Trl,Fort Worth,TX,76132,345000,5,3.5,Hulen Bend Estates Add,3267,9932,1999,193,106,33,Sold,,,http://www.redfin.com/TX/Fort-Worth/6713-Audubon-Trl-76132/home/32458235,NTREIS,14206073,N,Y,32.6537116,-97.4148869
PAST SALE,December-2-2019,Single Family Residential,6956 Lomo Alto Dr,Fort Worth,TX,76132,239901,4,2.0,Park Palisades Add,2211,6055,2001,200,109,38,Sold,,,http://www.redfin.com/TX/Fort-Worth/6956-Lomo-Alto-Dr-76132/home/32457398,NTREIS,14157173,N,Y,32.6503446,-97.4147387
PAST SALE,November-25-2019,Single Family Residential,7508 Winterbloom Way,Fort Worth,TX,76123,366143,4,3.5,Tavolo Park,2721,5706,2019,207,135,,Sold,,,http://www.redfin.com/TX/FORT-WORTH/7508-WINTERBLOOM-WAY-76123/home/167003265,NTREIS,14133920,N,Y,32.640409,-97.423233
PAST SALE,June-4-2019,Condo/Co-op,5240 Welden Ct,Fort Worth,TX,76132,219900,2,2.0,Villas On The Bluff Condo,1358,7013,1997,381,162,375,Sold,,,http://www.redfin.com/TX/Fort-Worth/5240-Welden-Ct-76132/home/32444888,NTREIS,14078355,N,Y,32.671651,-97.4204
PAST SALE,June-14-2019,Single Family Residential,6453 Elm Crest Ct,Fort Worth,TX,76132,815000,5,5.5,Hawthorne Park Estates,4457,17598,1997,371,183,63,Sold,,,http://www.redfin.com/TX/Fort-Worth/6453-Elm-Crest-Ct-76132/home/32423170,NTREIS,14086985,N,Y,32.6606737,-97.4304881
PAST SALE,May-30-2019,Single Family Residential,6733 East Park Dr,Fort Worth,TX,76132,445000,4,3.5,Bellaire Park North,3259,11935,1995,386,137,3,Sold,,,http://www.redfin.com/TX/Fort-Worth/6733-E-Park-Dr-76132/home/32415656,NTREIS,14067472,N,Y,32.6713804,-97.4290517
PAST SALE,May-30-2019,Single Family Residential,6532 S Dover St,Fort Worth,TX,76132,429900,4,3.0,Trinity Heights Crowley ISD,2166,9845,1999,386,198,85,Sold,,,http://www.redfin.com/TX/Fort-Worth/6532-Dover-Ter-S-76132/home/32457342,NTREIS,14014689,N,Y,32.6524637,-97.4323682
PAST SALE,May-15-2019,Single Family Residential,7337 Valencia Grove Ct,Fort Worth,TX,76132,369000,3,2.0,River Hills II Add,1984,7405,2010,401,186,46,Sold,,,http://www.redfin.com/TX/Fort-Worth/7337-Valencia-Grove-Ct-76132/home/31306037,NTREIS,13995988,N,Y,32.6666558,-97.4276786
PAST SALE,October-17-2018,Single Family Residential,7025 Shinnecock Hills Dr,Fort Worth,TX,76132,1050000,3,3.0,Mira Vista Add,3927,12197,2008,611,267,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/7025-Shinnecock-Hills-Dr-76132/home/32465389,NTREIS,13921954,N,Y,32.647097,-97.4418116
PAST SALE,March-29-2019,Single Family Residential,7020 Shinnecock Hills Dr,Fort Worth,TX,76132,1100000,4,5.0,Mira Vista Add,4831,15682,2018,448,228,204,Sold,,,http://www.redfin.com/TX/Fort-Worth/7020-Shinnecock-Hills-Dr-76132/home/32465388,NTREIS,13764824,N,Y,32.647512,-97.442296
PAST SALE,June-21-2019,Single Family Residential,6709 Olympia Hills Rd,Fort Worth,TX,76132,639000,4,3.5,Mira Vista Add,3560,13155,2000,364,179,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/6709-Olympia-Hills-Ct-76132/home/32456973,NTREIS,14065808,N,Y,32.6476489,-97.441389
PAST SALE,June-28-2019,Single Family Residential,6905 Hazeltine Dr,Fort Worth,TX,76132,825000,5,3.5,Mira Vista Add,3976,11761,1994,357,207,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/6905-Hazeltine-Dr-76132/home/32415958,NTREIS,14095208,N,Y,32.6577273,-97.4402059
PAST SALE,September-10-2019,Single Family Residential,6809 Lahontan Dr,Fort Worth,TX,76132,1060000,4,4.5,Mira Vista Add,4834,16945,2007,283,219,212,Sold,,,http://www.redfin.com/TX/Fort-Worth/6809-Lahontan-Dr-76132/home/32456995,NTREIS,14000779,N,Y,32.6498893,-97.4380298
PAST SALE,October-17-2019,Single Family Residential,6529 Turnberry Dr,Fort Worth,TX,76132,640000,3,4.0,Mira Vista Add,4225,12197,1996,246,151,550,Sold,,,http://www.redfin.com/TX/Fort-Worth/6529-Turnberry-Dr-76132/home/32415971,NTREIS,14176611,N,Y,32.6568977,-97.4397622
PAST SALE,August-9-2018,Single Family Residential,6509 Lago Vista Dr,Benbrook,TX,76132,409000,4,3.0,Country Day Estates,2607,9845,1984,680,157,,Sold,,,http://www.redfin.com/TX/Benbrook/6509-Lago-Vista-Dr-76132/home/31501807,NTREIS,13860279,N,Y,32.6922789,-97.4224086
PAST SALE,September-27-2018,Townhouse,6648 Rue Chateau St N,Benbrook,TX,76132,275000,3,3.0,Country Day Estates,1856,1394,1984,631,148,135,Sold,,,http://www.redfin.com/TX/Benbrook/6648-Rue-Chateau-St-N-76132/home/32364274,NTREIS,13919533,N,Y,32.693289,-97.424883
PAST SALE,December-20-2017,Single Family Residential,5953 River Bend Dr,Benbrook,TX,76132,342000,3,3.5,Bellaire Country Place Add,2999,5619,1985,912,114,117,Sold,,,http://www.redfin.com/TX/Benbrook/5953-River-Bend-Dr-76132/home/31006119,NTREIS,13683705,N,Y,32.6914806,-97.4254683
PAST SALE,December-17-2018,Single Family Residential,12 Lombardy Ter,Benbrook,TX,76132,464900,5,3.0,Mont Del Estates Add,3279,26397,1971,550,142,,Sold,,,http://www.redfin.com/TX/Benbrook/12-Lombardy-Ter-76132/home/31795343,NTREIS,13950250,N,Y,32.6872062,-97.4226205
PAST SALE,September-27-2018,Single Family Residential,12 Legend Rd,Benbrook,TX,76132,325000,3,2.0,Mont Del Estates Add,2062,12894,1974,631,158,,Sold,,,http://www.redfin.com/TX/Benbrook/12-Legend-Rd-76132/home/31795504,NTREIS,13905691,N,Y,32.690044,-97.4173249
PAST SALE,July-24-2018,Single Family Residential,13 Legend Rd,Benbrook,TX,76132,239900,3,2.0,Mont Del Estates Add,2031,7362,1975,696,118,,Sold,,,http://www.redfin.com/TX/Benbrook/13-Legend-Rd-76132/home/31795416,NTREIS,13809933,N,Y,32.6894972,-97.4172871
PAST SALE,February-8-2018,Single Family Residential,6704 Hillside Dr,Benbrook,TX,76132,419900,5,4.0,Country Day Estates,3379,14680,1987,862,124,,Sold,,,http://www.redfin.com/TX/Benbrook/6704-Hillside-Dr-76132/home/32333688,NTREIS,13741327,N,Y,32.6895749,-97.4252736
PAST SALE,December-7-2018,Single Family Residential,14 Park Ln,Benbrook,TX,76132,374999,4,3.0,Mont Del Estates,2725,15812,1965,560,138,,Sold,,,http://www.redfin.com/TX/Benbrook/14-Park-Ln-76132/home/31795465,NTREIS,13949170,N,Y,32.6885488,-97.4188919
PAST SALE,January-9-2019,Townhouse,6642 Rue Chateau St N,Benbrook,TX,76132,255000,2,2.5,Country Day Estates,1784,1220,1984,527,143,125,Sold,,,http://www.redfin.com/TX/Benbrook/6642-Rue-Chateau-St-N-76132/home/32364263,NTREIS,13905686,N,Y,32.6932753,-97.4246032
PAST SALE,February-11-2019,Single Family Residential,7029 Brierhollow Ct,Fort Worth,TX,76132,369900,4,2.0,Briercliff Estates Add,2535,8276,2002,494,146,38,Sold,,,http://www.redfin.com/TX/Fort-Worth/7029-Brierhollow-Ct-76132/home/32465225,NTREIS,13901411,N,Y,32.6463931,-97.4311007
PAST SALE,March-15-2019,Single Family Residential,7416 Winterbloom Way,Fort Worth,TX,76132,307000,3,2.0,Tavolo Park,2259,5968,2019,462,136,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/7416-WINTERBLOOM-WAY-76123/home/146680856,NTREIS,13913665,N,Y,32.640409,-97.423233
PAST SALE,June-27-2019,Single Family Residential,7501 Plumgrove Rd,Fort Worth,TX,76123,483070,4,3.0,Tavolo Park,3004,6534,2019,358,161,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/7501-PLUMGROVE-RD-76123/home/146775622,NTREIS,14018258,N,Y,32.641019,-97.424851
PAST SALE,May-17-2019,Single Family Residential,7520 Pondview Ln,Fort Worth,TX,76123,466553,4,3.5,Tavolo Park,3065,8059,2019,399,152,54,Sold,,,http://www.redfin.com/TX/Benbrook/7520-Pondview-Ln-76132/home/148435695,NTREIS,14038332,N,Y,32.641019,-97.424851
PAST SALE,June-12-2019,Single Family Residential,6854 Lahontan Dr,Fort Worth,TX,76132,1175000,4,5.0,Mira Vista Add,4654,24568,2002,373,252,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/6854-Lahontan-Dr-76132/home/32457079,NTREIS,14051402,N,Y,32.6486264,-97.4350851
PAST SALE,June-21-2019,Single Family Residential,7456 Pondview Ln,Fort Worth,TX,76132,397391,4,3.0,Tavolo Park,3291,7362,2019,364,121,54,Sold,,,http://www.redfin.com/TX/Benbrook/7456-Pondview-Ln-76132/home/147302062,NTREIS,13943649,N,Y,32.640409,-97.423233
PAST SALE,June-21-2019,Single Family Residential,7452 Pondview Ln,Fort Worth,TX,76123,491459,4,3.5,Tavolo Park,3363,6098,2019,364,146,54,Sold,,,http://www.redfin.com/TX/Benbrook/7452-Pondview-Ln-76132/home/147720952,NTREIS,14018380,N,Y,32.641019,-97.424851
PAST SALE,July-24-2019,Single Family Residential,7504 Winterbloom Way,Fort Worth,TX,76132,329000,3,2.0,Tavolo Park,2035,5706,2019,331,162,,Sold,,,http://www.redfin.com/TX/Benbrook/7504-Winterbloom-WAY-76132/home/160726581,NTREIS,14061977,N,Y,32.640409,-97.423233
PAST SALE,May-6-2019,Single Family Residential,6200 Tavolo Pkwy,Fort Worth,TX,76123,462353,4,3.5,Tavolo Park,2942,10019,2019,410,157,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/6200-TAVOLO-PKWY-76123/home/164436519,NTREIS,14079075,N,Y,32.639004,-97.423097
PAST SALE,May-10-2019,Single Family Residential,7109 Saucon Valley Dr,Fort Worth,TX,76132,692000,4,3.5,Mira Vista Add,3505,11587,1995,406,197,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/7109-Saucon-Valley-Dr-76132/home/32421380,NTREIS,14053541,N,Y,32.6545262,-97.4434807
PAST SALE,April-26-2019,Single Family Residential,7412 Winterbloom Way,Fort Worth,TX,76132,359188,5,4.0,Tavolo Park,3145,5968,2019,420,114,54,Sold,,,http://www.redfin.com/TX/Benbrook/7412-Winterbloom-Way-76132/home/148603579,NTREIS,13988729,N,Y,32.640409,-97.423233
PAST SALE,April-29-2019,Single Family Residential,7460 Pondview Ln,Fort Worth,TX,76132,375228,4,3.0,Tavolo Park,2886,7362,2019,417,130,54,Sold,,,http://www.redfin.com/TX/Benbrook/7460-Pondview-Ln-76132/home/147267607,NTREIS,13941633,N,Y,32.640409,-97.423233
PAST SALE,June-24-2019,Single Family Residential,7408 Winterbloom Way,Fort Worth,TX,76132,350067,4,3.0,Tavolo Park,2861,6447,2019,361,122,,Sold,,,http://www.redfin.com/TX/Benbrook/7408-Winterbloom-Way-76132/home/147420618,NTREIS,13975709,N,Y,32.640409,-97.423233
PAST SALE,July-15-2019,Single Family Residential,7425 Winterbloom Way,Fort Worth,TX,76132,300000,3,2.0,Tavolo Park,1876,7100,2019,340,160,,Sold,,,http://www.redfin.com/TX/Benbrook/7425-Winterbloom-Way-76132/home/147889673,NTREIS,13979656,N,Y,32.640409,-97.423233
PAST SALE,July-17-2019,Single Family Residential,7513 Winterbloom Way,Fort Worth,TX,76132,333537,3,2.0,Tavolo Park,2206,5881,2019,338,151,,Sold,,,http://www.redfin.com/TX/Benbrook/7513-Winterbloom-WAY-76132/home/160718847,NTREIS,14052177,N,Y,32.640409,-97.423233
PAST SALE,July-15-2019,Single Family Residential,7513 Pondview Ln,Fort Worth,TX,76123,548817,5,4.5,Tavolo Park,3827,7405,2019,340,143,54,Sold,,,http://www.redfin.com/TX/Unknown/7513-Pondview-Ln-76132/home/164438280,NTREIS,14079117,N,Y,32.639261,-97.425068
PAST SALE,December-13-2019,Single Family Residential,7525 Pondview Ln,Fort Worth,TX,76123,415000,4,3.0,Tavolo Park,2891,6142,2019,189,144,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/Pondview-Ln-76132/home/169574150,NTREIS,14150966,N,Y,32.640409,-97.423233
PAST SALE,December-27-2019,Single Family Residential,6053 Strada Cv,Fort Worth,TX,76123,428430,3,2.5,Tavolo Park,2250,5663,2019,175,190,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/Strada-Cv-76123/home/169574223,NTREIS,14182481,N,Y,32.64096,-97.424848
PAST SALE,December-30-2019,Single Family Residential,6300 Tavolo Pkwy,Fort Worth,TX,76132,412888,3,2.5,Tavolo Park,2297,2614,2019,172,180,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/6300-tavolo-Pkwy-76123/home/169120259,NTREIS,14250875,N,Y,32.637263,-97.4250747
PAST SALE,February-24-2020,Single Family Residential,7504 Pondview Ln,Fort Worth,TX,76123,498513,4,3.5,Tavolo Park,3065,7405,2020,116,163,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/Pondview-Ln-76132/home/169574133,NTREIS,14288184,N,Y,32.639483,-97.425679
PAST SALE,June-5-2020,Single Family Residential,6017 Tavolo Pkwy,Fort Worth,TX,76123,390000,4,3.5,Tavolo Park,2698,6011,2020,14,145,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/6017-TAVOLO-PKWY-76123/home/169574226,NTREIS,14264582,N,Y,32.640409,-97.421912
PAST SALE,May-29-2020,Single Family Residential,6244 Tavolo Pkwy,Fort Worth,TX,76132,375000,3,2.0,Tavolo Park,2276,8276,2020,21,165,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/6244-TAVOLO-PKWY-76123/home/169574117,NTREIS,14320795,N,Y,32.640409,-97.421912
PAST SALE,December-26-2019,Single Family Residential,7420 Winterbloom Way,Fort Worth,TX,76123,430322,3,2.0,Tavolo Park,2224,5663,2019,176,193,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/7420-WINTERBLOOM-WAY-76123/home/168984129,NTREIS,14182552,N,Y,32.64096,-97.424848
PAST SALE,February-21-2020,Single Family Residential,7428 Winterbloom Way,Fort Worth,TX,76123,494117,4,3.0,Tavolo Park,3042,2614,2020,119,162,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/7428-WINTERBLOOM-WAY-76123/home/169574091,NTREIS,14288173,N,Y,32.638243,-97.425723
PAST SALE,May-5-2020,Single Family Residential,7448 Pondview Ln,Fort Worth,TX,76123,402000,4,3.0,Tavolo Park,2614,7362,2019,45,154,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/Pondview-Ln-76132/home/169574097,NTREIS,14259368,N,Y,32.640409,-97.423233
PAST SALE,December-27-2019,Single Family Residential,7424 Plumgrove Rd,Fort Worth,TX,76123,370000,4,3.0,Tavolo Park,2891,6142,2019,175,128,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/7424-PLUMGROVE-RD-76123/home/167144469,NTREIS,14134761,N,Y,32.640409,-97.423233
PAST SALE,September-30-2019,Single Family Residential,6033 Tavolo Pkwy,Fort Worth,TX,76123,414545,3,2.5,Tavolo Park,2297,5663,2019,263,180,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/6033-TAVOLO-PKWY-76123/home/169252378,NTREIS,14196255,N,Y,32.638279,-97.423752
PAST SALE,December-30-2019,Single Family Residential,7553 Winterbloom Way,Fort Worth,TX,76123,431027,4,2.5,Tavolo Park,2248,6098,2019,172,192,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/7553-WINTERBLOOM-WAY-76123/home/168985245,NTREIS,14182760,N,Y,32.639106,-97.426238
PAST SALE,November-20-2019,Single Family Residential,7544 Winterbloom Way,Fort Worth,TX,76123,429696,3,2.5,Tavolo Park,2297,5663,2019,212,187,54,Sold,,,http://www.redfin.com/TX/FORT-WORTH/7544-WINTERBLOOM-WAY-76123/home/168979864,NTREIS,14182253,N,Y,32.639141,-97.426256
PAST SALE,June-3-2019,Single Family Residential,6144 Strada Cv,Fort Worth,TX,76123,437010,4,3.0,Tavolo Park,3042,8712,2019,382,144,54,Sold,,,http://www.redfin.com/TX/Fort-Worth/6144-Strada-Cv-76123/home/164428786,NTREIS,14078908,N,Y,32.640306,-97.422673
PAST SALE,September-5-2019,Single Family Residential,7516 Pondview Ln,Fort Worth,TX,76132,435343,4,4.0,Tavolo Park,4000,7449,2019,288,109,,Sold,,,http://www.redfin.com/TX/Fort-Worth/7516-Pondview-LN-76123/home/165416446,NTREIS,14096794,N,Y,32.640409,-97.423233
PAST SALE,March-2-2018,Single Family Residential,6708 Trinity Landing Dr N,Fort Worth,TX,76132,449900,4,2.5,Bellaire Park North,3428,12197,1993,840,131,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6708-Trinity-Landing-Dr-N-76132/home/32372722,NTREIS,13734636,N,Y,32.675631,-97.4269393
PAST SALE,November-22-2017,Townhouse,6605 Lost Star Ln,Fort Worth,TX,76132,356944,2,3.0,Bellaire Village,2467,,2017,940,145,83,Sold,,,http://www.redfin.com/TX/Fort-Worth/6605-Lost-Star-Ln-76132/home/31226467,NTREIS,13646144,N,Y,32.668322,-97.426321
PAST SALE,May-15-2018,Single Family Residential,7321 VALENCIA GROVE Ct,Fort Worth,TX,76132,448000,3,2.5,River Hills II Add,3032,5663,2012,766,148,46,Sold,,,http://www.redfin.com/TX/Fort-Worth/7321-Valencia-Grove-Ct-76132/home/31306041,NTREIS,13790512,N,Y,32.667155,-97.4281433
PAST SALE,October-30-2018,Single Family Residential,7409 Pebble Ridge Dr,Fort Worth,TX,76132,492900,3,2.5,Pebble Creek Ridge Add,2905,6534,2001,598,170,117,Sold,,,http://www.redfin.com/TX/Fort-Worth/7409-Pebble-Ridge-Dr-76132/home/32477687,NTREIS,13938518,N,Y,32.6657398,-97.4279532
PAST SALE,August-24-2018,Single Family Residential,5033 Highland Meadow Dr,Fort Worth,TX,76132,447500,4,2.5,Meadows West Add,3368,11979,1996,665,133,,Sold,,,http://www.redfin.com/TX/Fort-Worth/5033-Highland-Meadow-Dr-76132/home/32401243,NTREIS,13882421,N,Y,32.6742308,-97.4250171
PAST SALE,January-24-2018,Single Family Residential,5109 Alaire Dr,Fort Worth,TX,76132,405000,4,2.5,Bellaire Park North,2905,13460,1993,877,139,,Sold,,,http://www.redfin.com/TX/Fort-Worth/5109-Alaire-Dr-76132/home/32415675,NTREIS,13718976,N,Y,32.6721889,-97.4320724
PAST SALE,July-2-2018,Single Family Residential,6605 Sahalee Dr,Fort Worth,TX,76132,1490000,6,6.0,Mira Vista Add,7005,24219,1993,718,213,183,Sold,,,http://www.redfin.com/TX/Fort-Worth/6605-Sahalee-Dr-76132/home/32413986,NTREIS,13843343,N,Y,32.6566611,-97.4359806
PAST SALE,June-29-2018,Single Family Residential,6717 Morning Dew Dr,Fort Worth,TX,76132,497500,3,3.0,Meadows West Add,2667,9757,1989,721,187,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6717-Morning-Dew-Dr-76132/home/32336915,NTREIS,13783096,N,Y,32.6801107,-97.4287348
PAST SALE,August-11-2017,Townhouse,7100 Rose Quartz Ct,Fort Worth,TX,76132,320204,2,3.0,Bellaire Village,2220,,2016,1043,144,83,Sold,,,http://www.redfin.com/TX/Fort-Worth/7100-Rose-Quartz-Ct-76132/home/31226450,NTREIS,13424274,N,Y,32.669011,-97.428001
PAST SALE,October-26-2018,Townhouse,6753 Lost Star Ln,Fort Worth,TX,76132,369900,2,2.5,Bellaire Village,2504,4225,2015,602,148,83,Sold,,,http://www.redfin.com/TX/Fort-Worth/6753-Lost-Star-Ln-76132/home/31226477,NTREIS,13873586,N,Y,32.6683325,-97.4282701
PAST SALE,April-2-2018,Single Family Residential,6500 Briarcrest Ct,Fort Worth,TX,76132,724900,4,6.0,Meadows West Add,6002,36024,1999,809,121,3,Sold,,,http://www.redfin.com/TX/Fort-Worth/6500-Briarcrest-Ct-76132/home/32401189,NTREIS,13743920,N,Y,32.6745457,-97.4238353
PAST SALE,April-26-2018,Single Family Residential,6604 Andress Dr,Fort Worth,TX,76132,195000,3,2.0,Oakmont Meadows Add,1843,5532,1999,785,106,,Sold,,,http://www.redfin.com/TX/Fort-Worth/6604-Andress-Dr-76132/home/32446103,NTREIS,13798505,N,Y,32.6587024,-97.4100218
PAST SALE,December-5-2018,Single Family Residential,6929 Mesa Dr,Fort Worth,TX,76132,230000,4,2.0,Hulen Bend Estates Add,2055,7187,1996,562,112,45,Sold,,,http://www.redfin.com/TX/Fort-Worth/6929-Mesa-Dr-76132/home/32433806,NTREIS,13943231,N,Y,32.6566715,-97.4131896
PAST SALE,February-21-2019,Single Family Residential,6725 Windwood Trl,Fort Worth,TX,76132,298000,4,2.5,HULEN BEND ESTATES,3038,6882,2001,484,98,45,Sold,,,http://www.redfin.com/TX/Fort-Worth/6725-Windwood-Trl-76132/home/32445433,NTREIS,14000154,N,Y,32.655791,-97.4106342
PAST SALE,March-5-2019,Single Family Residential,6800 Spring Valley Way,Fort Worth,TX,76132,280000,3,2.0,Hulen Bend Estates Add,2428,7187,1998,472,115,45,Sold,,,http://www.redfin.com/TX/Fort-Worth/6800-Spring-Valley-Way-76132/home/32445375,NTREIS,14008038,N,Y,32.6579166,-97.4121759
PAST SALE,March-8-2019,Townhouse,6725 Lost Star Ln,Fort Worth,TX,76132,349000,3,2.5,Bellaire Village,2449,2657,2015,469,143,83,Sold,,,http://www.redfin.com/TX/Fort-Worth/6725-Lost-Star-Ln-76132/home/31226484,NTREIS,13997914,N,Y,32.6683726,-97.4275941
